country,population
China,1367270000
India,1260890000
United States,318901000
Indonesia,252164800
Brazil,203284000
Pakistan,188020000
Bangladesh,157131000
Russia,146149200
Japan,127040000
Mexico,119713203
Philippines,100385600
Vietnam,89708900
Ethiopia,87952991
Egypt,87309400
Germany,80781000
Iran,77811900
Turkey,76667864
Democratic Republic of the Congo,69360000
France,66019000
Thailand,64871000
United Kingdom,64105654
Italy,60780377
South Africa,54002000
Burma,51419420
South Korea,50423955
Colombia,47816300
Tanzania,47421786
Spain,46507800
Ukraine,42981850
Argentina,42669500
Kenya,41800000
Algeria,38700000
Poland,38496000
Sudan,37289406
Iraq,36004552
Canada,35540419
Uganda,35357000
Morocco,33404300
Peru,30814175
Saudi Arabia,30770375
Uzbekistan,30492800
Malaysia,30367200
Venezuela,30206307
Ghana,27043093
Nepal,26494504
Afghanistan,26023100
Yemen,25956000
Mozambique,25041922
North Korea,25027000
Australia,23628900
Taiwan,23404243
Ivory Coast,23202000
Syria,21987000
Madagascar,21263403
Cameroon,20386799
Sri Lanka,20277597
Romania,19942642
Angola,19813179
Chile,17819054
Kazakhstan,17330000
Burkina Faso,17322796
Niger,17138707
Netherlands,16872000
Ecuador,15845100
Guatemala,15806675
Malawi,15805239
Mali,15768000
Cambodia,15184116
Zambia,15023315
Senegal,13508715
Chad,13211000
Zimbabwe,13061239
South Sudan,11384393
Belgium,11207699
Cuba,11167325
Rwanda,10996891
Greece,10992589
Tunisia,10982754
Somalia,10806000
Haiti,10745665
Guinea,10628972
Czech Republic,10521600
Portugal,10477800
Dominican Republic,10378267
Bolivia,10027254
Benin,9988068
Hungary,9879000
Sweden,9716962
Azerbaijan,9540400
Burundi,9530434
Belarus,9469200
United Arab Emirates,9446000
Honduras,8725111
Austria,8527230
Israel,8238300
Switzerland,8183800
Tajikistan,8161000
Papua New Guinea,7398500
Bulgaria,7245677
Hong Kong(China),7234800
Serbia,7146759
Togo,6993000
Paraguay,6893727
Laos,6693300
Jordan,6642580
Eritrea,6536000
El Salvador,6401240
Libya,6253000
Sierra Leone,6205000
Nicaragua,6071045
Kyrgyzstan,5842600
Turkmenistan,5822188
Denmark,5639719
Singapore,5469700
Finland,5465290
Slovakia,5415949
Norway,5137679
Central African Republic,4709000
Costa Rica,4667096
Ireland,4609600
Republic of the Congo,4559000
Palestine,4550368
New Zealand,4533650
Georgia,4490500
Liberia,4397000
Croatia,4267558
Oman,4064580
Lebanon,4036000
Bosnia and Herzegovina,3791622
Panama,3713312
Puerto Rico(USA),3615086
Moldova,3557600
Mauritania,3545620
Uruguay,3404189
Kuwait,3065850
Armenia,3009800
Mongolia,2977149
Lithuania,2927310
Albania,2895947
Jamaica,2717991
Qatar,2187326
Namibia,2113077
Lesotho,2098000
Macedonia,2065769
Slovenia,2064273
Botswana,2024904
Latvia,1993300
Gambia,1882450
Kosovo,1816891
Guinea-Bissau,1746000
Gabon,1711000
Trinidad and Tobago,1328019
Bahrain,1316500
Estonia,1315819
Equatorial Guinea,1313000
Swaziland,1268000
Mauritius,1261208
Timor-Leste,1212107
Djibouti,886000
Fiji,859178
Cyprus,858000
R_union(France),840974
Guyana,784894
Comoros,763952
Bhutan,752760
Montenegro,620029
Macau(China),614500
Western Sahara,586000
Solomon Islands,581344
Luxembourg,549700
Suriname,534189
Cape Verde,518467
Transnistria,505153
Malta,416055
Guadeloupe(France),405739
Brunei,393372
Martinique(France),386486
Bahamas,368390
Belize,349728
Maldives,341848
Iceland,327050
Northern Cyprus,294906
Barbados,285000
French Polynesia(France),268270
Vanuatu,264652
New Caledonia(France),258958
Abkhazia,240705
French Guiana(France),237549
Mayotte(France),212645
Samoa,187820
So Tom_ and Prncipe,187356
Saint Lucia,184000
Guam(USA),159358
Cura_ao(Netherlands),150563
Saint Vincent and the Grenadines,109000
Kiribati,106461
United States Virgin Islands(USA),106405
Grenada,103328
Tonga,103252
Aruba(Netherlands),101484
Federated States of Micronesia,101351
Jersey(UK),99000
Seychelles,90945
Antigua and Barbuda,86295
Isle of Man(UK),84497
Andorra,76098
Dominica,71293
Bermuda(UK),64237
Guernsey(UK),63085
Greenland(Denmark),56483
Marshall Islands,56086
American Samoa(USA),55519
Cayman Islands(UK),55456
Saint Kitts and Nevis,55000
Northern Mariana Islands(USA),53883
South Ossetia,51547
Faroe Islands(Denmark),48456
Sint Maarten(Netherlands),37429
Liechtenstein,37132
Saint Martin(France),36979
Monaco,36950
San Marino,33698
Turks and Caicos Islands(UK),31458
Gibraltar(UK),30001
British Virgin Islands(UK),29537
_land Islands(Finland),28502
Caribbean Netherlands(Netherlands),23296
Palau,20901
Cook Islands(NZ),14974
Anguilla(UK),13452
Wallis and Futuna(France),13135
Tuvalu,11323
Nauru,10084
Saint Barth_lemy(France),8938
Saint Pierre and Miquelon(France),6081
Montserrat(UK),4922
"Saint Helena, Ascension and Tristan da Cunha(UK)",4000
Falkland Islands(UK),3000
Svalbard and Jan Mayen(Norway),2655
Norfolk Island(Australia),2302
Christmas Island(Australia),2072
Niue(NZ),1613
Tokelau(NZ),1411
Vatican City,839
Cocos (Keeling) Islands(Australia),550
Pitcairn Islands(UK),56
